Sequence,Stage,Task,Condition / branch,What integrity should do,Component / command,Writes history data?,Run once per,Depends on,Next on success,On failure / blocked,How this avoids repeated work,Current implementation status,Notes / decision to confirm
0.1,Preflight,Validate history version,history-version is v1 or both,"Reject before importing core, scanning sources, or planning repairs.",CLI/parser,No,Run,None,Stop,Exit non-zero,Prevents unsupported branches from doing any work.,Existing,Current system should remain v2-only.
0.2,Preflight,Determine run mode,--check-only and no --run-backfill,"Run the complete integrity scan and produce findings, but do not execute any repair.",Integrity entrypoint,No,Run,Valid v2 arguments,Core import,Stop on invalid configuration,Uses the same detection pass without starting a second workflow.,Existing,Read-only mode must remain available.
0.3,Preflight,Determine run mode,--run-backfill requested,"Enable the v2 repair sequence for observations, manifests/indexes, and aqilevels.",Integrity entrypoint,"Yes, later stages",Run,Valid v2 arguments,Write-gate checks,Reject before work,One flag controls one ordered repair pass rather than separate manual repair runs.,Currently disabled; needs reconnection,This should be restored for v2 only.
0.4,Preflight,Validate repair environment,Repair requested and environment is not an approved target,Reject before invoking any writer.,Preflight/write gate,No,Run,--run-backfill,Stop,Exit non-zero,Avoids partially running checks before discovering that writes are forbidden.,Needs confirmation,Decide whether LIVE remains disabled or gets a separate explicit gate.
0.5,Preflight,Validate v2 core path,Core root is missing or not history/v2/core,Stop before source scans and report the configuration error.,Core snapshot resolver/preflight,No,Run,Valid environment,Stop,Exit non-zero,Prevents later work using the wrong station/timeseries mappings.,Existing,Expected root: R2_history_backup/history/v2/core.
0.6,Preflight,Validate repair dependencies,"Repair mode requested but required wrapper, env, bucket, or credentials are missing",Stop before scans or writers.,Preflight,No,Run,Repair mode,Core import,Exit non-zero,Avoids doing an expensive scan that cannot be followed by the requested repair.,Partly existing,"List the exact required settings for observ, manifest/index, and aqilevel repair."
1.1,Core,Import v2 core snapshot,Latest snapshot hash is new,Validate the v2 core manifest and import required core tables into the integrity database.,Core snapshot importer,Local DB only,Snapshot hash,Preflight passed,Source scan,Stop,Imports once and reuses the result for all later stages.,Existing,"Required tables include connectors, stations, timeseries, phenomena, and mappings."
1.2,Core,Reuse v2 core snapshot,Latest snapshot hash matches the last successful import,Reuse the existing imported core tables.,Core snapshot importer,No,Snapshot hash,Preflight passed,Source scan,Stop if existing import is invalid,Avoids repeatedly importing identical core parquet files.,Existing,
1.3,Core,Reject invalid core snapshot,"Manifest, key, hash, row count, or required table is invalid",Do not scan or repair history.,Core snapshot importer,No,Snapshot,Preflight passed,Stop,Exit non-zero,Prevents all later work from being based on incomplete mappings.,Existing,
2.1,Source evidence,Check upstream source file,Source metadata and content are unchanged,Record unchanged state and reuse stored source row/hour evidence.,OpenAQ / Sensor.Community / SOS adapters,Local DB/cache only,Source file,Core import,Next source file,Record adapter error if check failed,Avoids re-downloading and re-counting unchanged source files.,Existing,
2.2,Source evidence,Download upstream source file,"File is new, changed, or reappeared","Download, hash, cache, and derive source observation evidence.",Source adapters,Local cache/DB only,Source file,Core import,Observation comparison,Record failure and block affected scope,"Processes each changed source file once, then shares its evidence across repair decisions.",Existing,
2.3,Source evidence,Handle missing upstream file,Expected source file is not available,Record the missing source evidence and do not attempt an observation backfill for that scope.,Source adapters,Local DB only,Source file,Core import,Observation comparison/report,Report source unavailable,Prevents repeated failed backfill attempts with no source data.,Existing,
2.4,Source evidence,Resolve source rows to v2 timeseries,Source station/pollutant mapping exists,Create or reuse source-to-timeseries row/hour evidence.,Core lookup + source adapter,Local DB only,Source file/timeseries,Core import,Observation comparison,Operator action if mapping fails,Resolves mappings once before any repair is selected.,Existing,
2.5,Source evidence,Mapping/operator issue,Source row cannot be mapped safely to a v2 timeseries,"Report operator action; do not run observ, manifest/index, or aqilevel repair for that affected scope.",Integrity planner,No,Affected scope,Source evidence,Continue unrelated scopes,Mark affected scope blocked,Avoids repeatedly repairing data built from an uncertain mapping.,Existing,Must remain non-automatic.
3.1,Observations check,Compare source and v2 observations,Source and v2 observation evidence agree,Mark observation data healthy.,v2 observation integrity check,No,Connector/day/timeseries,Source evidence,Manifest/index check,Record read error,Healthy scopes skip observation backfill completely.,Existing,
3.2,Observations check,Plan observation backfill,"v2 parquet is missing, invalid, or has fewer valid source observations",Add one scoped v2 observation repair candidate.,Integrity repair planner,No,Connector/day/timeseries set,Source evidence,Observation repair stage,Block if source evidence unavailable,Combines all affected timeseries for the connector/day into one backfill call.,Existing but disconnected,Reconnect existing v2 observation repair path.
3.3,Observations check,Handle v2-only or unexpected rows,v2 contains data not supported by current source evidence,Report the discrepancy and require a safe explicit policy before deleting or rewriting data.,Integrity planner,No,Connector/day/timeseries,Source evidence,Continue unrelated scopes,Operator review,Avoids automatic destructive rewrites and repeated repair loops.,Existing/needs confirmation,No automatic DELETE should be inferred from source-only comparison.
3.4,Observations check,Plan manifest-only repair,"Parquet is valid but pollutant/connector/day manifest is missing, stale, or incomplete",Add manifest/index repair actions without scheduling observation backfill.,v2 observation integrity planner,No,Connector/day/pollutant,Observation check,Manifest/index stage,Report unsupported action,Skips expensive observation rewriting when only hierarchy metadata is wrong.,Existing Phase 3 planning,This is the new functionality being added to the original repair flow.
3.5,Observations check,Plan index-only repair,Observation hierarchy is valid but index/latest/metadata is missing or stale,Add only the required targeted index actions.,v2 observation integrity planner,No,Affected index scope,Observation check,Manifest/index stage,Report unsupported action,Avoids rebuilding child manifests that are already correct.,Existing Phase 3 planning,
4.1,Repair gate,Check-only branch,Run is read-only,"Do not invoke observation, manifest/index, or aqilevel writers; finish the scan and report every planned action.",Integrity entrypoint,No,Run,Detection complete,Final report,Report scan failure,One detection pass supplies a complete preview without partial writes.,Existing,
4.2,Observation repair,No observation repair candidates,All affected observation parquet is healthy,Skip observation backfill and proceed directly to manifest/index repair.,Repair coordinator,No,Connector/day,Repair mode + detection,Manifest/index stage,None,Prevents unnecessary parquet rebuilds.,Needs reconnection,
4.3,Observation repair,Observation repair candidates exist,Valid source evidence is available,Run one scoped v2 observation backfill for the combined connector/day/timeseries set.,Existing observation backfill wrapper/writer,Yes: v2 observ parquet and immediate child outputs,Connector/day,Repair mode + plan,Observation verification,Mark scope failed,Batches all affected timeseries once before any parent manifest or AQI work.,"Existing code, currently disabled",Confirm exact wrapper and whether it already writes pollutant manifests.
4.4,Observation repair,Observation writer reports unchanged,Target parquet already matches the requested source data,Treat as a successful no-op and continue to verification.,Observation writer,No additional change,Connector/day,Observation repair,Observation verification,Mark failed only if verification disagrees,Avoids rerunning the writer just because a repair was planned from stale evidence.,Existing/needs confirmation,
4.5,Observation repair,Observation writer fails,Writer exits non-zero or output cannot be verified,Block manifest/index and aqilevel repair for that scope.,Repair coordinator,Possibly partial; must be reported,Connector/day,Observation repair,Continue unrelated scopes,Scope failed; final run fails,Prevents downstream work from being built on uncertain observation data.,Existing logic partly present,
4.6,Observation verification,Observation repair completed or no-op,Re-read repaired parquet and compare against source evidence,Confirm required rows/timeseries/timestamps are now present and valid.,v2 observation post-repair check,No,Connector/day/timeseries,Observation repair,Manifest/index stage,Block downstream scope,One verification replaces repeated speculative backfills.,"Existing code, currently disconnected",
5.1,Manifest/index preparation,Observation repair changed parquet,Recompute manifest/index requirements from the verified final observation state,Discard stale pre-repair parent-manifest assumptions and build final actions from current children.,Repair coordinator + Phase 3 planner/executor,No,Connector/day,Observation verification,Pollutant manifest stage,Block scope,Ensures manifests are built once from final parquet rather than before and after backfill.,Needs integration,Key ordering rule.
5.2,Manifest/index preparation,No observation repair occurred,Use the original verified manifest/index actions,Pass the scoped actions directly to the Phase 3 executor.,Repair coordinator,No,Connector/day,Detection complete,Pollutant manifest stage,Block unsupported scope,Avoids rerunning observation checks before metadata-only repair.,Needs integration,
5.3,Manifest repair,Pollutant manifest missing/stale,Rebuild the selected pollutant manifest from verified parquet.,Phase 3 executor / specialist writer,Yes: pollutant manifest,Connector/day/pollutant,Verified observations,Connector manifest,Block dependent parent,Writes each child manifest once from final observation data.,Existing Phase 3 executor,
5.4,Manifest repair,All pollutant children for connector are verified,Build one connector manifest from the complete live/staged pollutant set.,Phase 3 executor,Yes: connector manifest,Connector/day,Pollutant children,Day manifest,Block day/index,"One connector parent is produced after all child changes, not once per pollutant.",Existing Phase 3 executor,
5.5,Manifest repair,All connector children for day are verified,Build one day manifest from the complete live/staged connector set.,Phase 3 executor,Yes: day manifest,Day,Connector manifests,Observation indexes,Block indexes,"One day parent is produced after all connector work, avoiding repeated day rebuilds.",Existing Phase 3 executor,
5.6,Index repair,Day hierarchy changed or index is independently stale/missing,Rebuild only the targeted observation index/latest/metadata objects.,Phase 3 index builder,Yes: observation indexes,Affected day/index target,Verified day manifest,Manifest/index verification,Mark failed,Indexes are written once after the complete day hierarchy is final.,Existing Phase 3 executor,
5.7,Manifest/index repair,Proposed object body matches existing object,Skip the PUT and report unchanged.,Phase 3 executor,No,Object key,Proposal built,Continue dependency chain,Fail only on read/validation error,Idempotence prevents repeated writes on later integrity runs.,Existing,
5.8,Manifest/index verification,A manifest or index object was changed,Freshly GET and verify the exact written body and hierarchy references.,Phase 3 executor,No,Object key,Write completed,AQI decision stage,Block AQI and fail scope,A single verification gate prevents downstream AQI work on unverified metadata.,Existing,
6.1,AQI decision,Pollutant is not AQI eligible,Do not queue aqilevel repair.,AQI planner,No,Pollutant/scope,Observation + manifest verification,Final verification,None,Prevents O3 and other unsupported pollutants from entering the AQI workflow.,Existing,"Eligible pollutants currently no2, pm25, pm10."
6.2,AQI decision,Observation or manifest/index stage failed,Block aqilevel repair for the affected scope.,Repair coordinator,No,Connector/day,Earlier stages,Continue unrelated scopes,Scope failed,Avoids building AQI from incomplete or unverified observations.,Existing logic partly present,
6.3,AQI check,All expected supported-pollutant UTC hours already exist,Mark aqilevels healthy and do not rebuild.,v2 AQI hourly integrity check,No,Connector/day/timeseries/hour,Verified observations,Final verification,Record read failure,"Uses hour identities, so hundreds of raw rows do not trigger repeated AQI rebuilds.",Existing Phase 9 logic,
6.4,AQI check,"One or more expected UTC hours are missing, or AQI output/manifest is invalid",Queue one scoped aqilevel rebuild.,AQI repair planner,No,Connector/day,Verified observations and hierarchy,AQI repair,Mark blocked if writer unavailable,Deduplicates all missing hours into one connector/day AQI rebuild.,Existing but disconnected,Reconnect existing aqilevel repair queue/execution.
6.5,AQI repair,AQI repair is queued,Run the v2 hourly AQI writer once for the connector/day.,Existing AQI rebuild writer,Yes: v2 aqilevel parquet/manifests/indexes as designed,Connector/day,AQI queue,AQI verification,Mark scope failed,One rebuild covers all affected eligible pollutants/hours for that scope.,"Existing code, currently disabled",Confirm exact writer scope and outputs.
6.6,AQI verification,AQI rebuild completed,Re-read actual AQI hour identities and verify every expected hour now exists.,v2 AQI post-rebuild integrity check,No,Connector/day/timeseries/hour,AQI repair,Final verification,Scope failed,Prevents repeated AQI rebuilds when the writer claims success but output is incomplete.,Existing code/fixtures need alignment,"Use hour identities, not raw row counts."
7.1,Final verification,All planned repair stages have finished,Run one final v2 integrity recheck over the affected date range.,Integrity checker in verification mode,No,Run/date range,All repair stages,Final status,Final status failed,A single final pass replaces separate repeated checks after every task.,"Existing post-repair logic, currently disconnected",Can optimise by checking affected scopes while still producing a complete final report.
7.2,Final verification,No remaining actionable v2 gaps,Mark the run successful.,Run status/reporting,Local report only,Run,Final recheck,Publish report/status,None,The next scheduled run starts clean and performs no repairs.,Existing,
7.3,Final verification,Observation gaps remain,Mark run failed and report exact remaining observation scopes; do not automatically start a second repair loop.,Run status/reporting,No,Run,Final recheck,Stop,Exit non-zero,One repair pass per run prevents uncontrolled repeated backfills.,Needs confirmation,A later run may retry after investigation.
7.4,Final verification,Manifest/index gaps remain,Mark run failed and report exact keys/actions; do not automatically repeat Phase 3 in the same run.,Run status/reporting,No,Run,Final recheck,Stop,Exit non-zero,Avoids loops caused by a persistent hierarchy or concurrency defect.,Needs confirmation,
7.5,Final verification,AQI gaps remain,Mark run failed and report missing expected UTC hours; do not automatically repeat the AQI writer.,Run status/reporting,No,Run,Final recheck,Stop,Exit non-zero,Prevents repeated AQI rewrites when the real cause is unresolved observation or writer logic.,Needs confirmation,
8.1,Reporting,Write final report,"Run completed, failed, blocked, or was check-only","Record findings, planned actions, executed actions, changed objects, verifications, blocked scopes, and final status.",JSON/Markdown report + local SQLite,Local only,Run,Final verification or check-only,End,Report-write failure,Provides one authoritative record instead of reconstructing work from multiple commands.,"Existing, needs expanded execution ordering",
8.2,Reporting,Update task health,Scheduled run and reporting integration enabled,Publish one final task status reflecting the complete ordered workflow.,Daily task health RPC,External status only,Run,Final report,End,Log warning/failure according to policy,Avoids reporting success before downstream manifest/AQI work finishes.,Existing/needs confirmation,Manual runs may disable this.
